X(m),Y(m),Z(m),Distance(m),Capacity(MBit/sec),DelaySpread(sec),Interference (dB),Noise (dB),SNR (dB),SIR (dB),SINR (dB),Environment,Base Station Type,Base Station Code,Base Station Coordinates,Total Capacity (Gbps),Total Bandwidth (GHz),number of interfaces,Net delay(ms)
1000.0,1690.0,2.0,543.989,1.730904e-05,6.02149e-08,-250.0,-87.9897,-72.21931,89.79099,-72.21931,plain ground,BS,BS suburban2,1488 1449 20,101.412,10.0,1200,0.6
1010.0,0.0,2.0,920.009,33.2854,2.15557e-07,-250.0,-87.9897,-9.126602,152.8837,-9.126602,sea surface,BS,BS urban1,1434 816 30,168.014,10.0,1600,0.5
1010.0,320.0,2.0,697.407,190.2478,6.86832e-09,-250.0,-87.9897,-0.2987065,161.7116,-0.2987065,sea surface,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1010.0,630.0,2.0,100187.0,376.8602,1.71289e-07,-250.0,-96.22878,37.81469,191.5859,37.81469,plain ground,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1010.0,920.0,2.0,770.715,29.63472,2.52891e-07,-250.0,-87.9897,-9.659106,152.3512,-9.659106,plain ground,BS,BS urban2,1678 537 35,151.213,10.0,1600,0.5
1010.0,1110.0,2.0,587.464,0.2679614,4.08729e-07,-250.0,-87.9897,-30.31931,131.691,-30.31931,plain ground,BS,BS dense urban2,661 638 25,225.253,10.0,2000,0.5
1010.0,1290.0,2.0,1021.47,130.998,6.15525e-09,-250.0,-87.9897,-2.406308,159.604,-2.406308,plain ground,ABS,ABS dense urban1,486 442 225,64.358,2.0,500,1.0
1010.0,1500.0,2.0,846.19,0.04482716,2.53874e-07,-250.0,-87.9897,-38.0863,123.924,-38.0863,plain ground,ABS,ABS urban high rise1,208 1652 225,80.448,2.0,600,1.2
1010.0,1810.0,2.0,598.669,0.0003286811,6.33958e-08,-250.0,-87.9897,-59.4343,102.576,-59.4343,plain ground,BS,BS suburban2,1488 1449 20,101.412,10.0,1200,0.6
1020.0,120.0,2.0,810.306,73.52977,1.45717e-07,-250.0,-87.9897,-5.372301,156.638,-5.372301,sea surface,BS,BS urban1,1434 816 30,168.014,10.0,1600,0.5
1020.0,440.0,2.0,631.915,197.549,6.90732e-09,-250.0,-87.9897,-0.07409715,161.9362,-0.07409715,plain ground,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1020.0,750.0,2.0,579.186,121.1661,4.94146e-09,-250.0,-87.9897,-2.824503,159.1858,-2.824503,plain ground,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1020.0,1010.0,2.0,810.869,220.1723,7.49323e-07,-250.0,-87.9897,0.5874001,162.5977,0.5874001,plain ground,ABS,ABS dense urban1,486 442 225,64.358,2.0,500,1.0
1020.0,1170.0,2.0,481.512,12.96232,4.62882e-07,-250.0,-87.9897,-13.3773,148.633,-13.3773,plain ground,BS,BS urban high rise 2,658 1479 75,281.567,10.0,2400,0.7
1020.0,1360.0,2.0,447.234,294.1244,3.84443e-08,-250.0,-87.9897,2.4832,164.4935,2.4832,plain ground,ABS,ABS urban high rise2,765 1652 225,72.403,2.0,600,1.2
1020.0,1610.0,300.0,99889.9,383.8611,7.49514e-07,-250.0,-96.22878,38.51729,192.2885,38.51729,plain air,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1020.0,1930.0,300.0,726.609,0.0002503083,5.20974e-07,-250.0,-87.9897,-60.61729,101.393,-60.61729,plain air,BS,BS suburban2,1488 1449 20,101.412,10.0,1200,0.6
1030.0,240.0,300.0,753.586,254.8849,1.47958e-08,-250.0,-87.9897,1.519893,163.5302,1.519893,sea sky,BS,BS urban1,1434 816 30,168.014,10.0,1600,0.5
1030.0,560.0,300.0,545.117,320.4978,8.5222e-08,-250.0,-87.9897,3.089202,165.0995,3.089202,plain air,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1030.0,850.0,300.0,99888.2,365.4973,1.13509e-06,-250.0,-96.22878,36.67428,190.4455,36.67428,plain air,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1030.0,1070.0,300.0,763.256,288.302,7.95541e-09,-250.0,-87.9897,2.345298,164.3556,2.345298,plain air,BS,BS dense urban1,314 990 48,202.728,10.0,2000,0.5
1030.0,1240.0,300.0,922.525,153.362,1.59945e-08,-250.0,-87.9897,-1.539704,160.4706,-1.539704,plain air,ABS,ABS urban high rise1,208 1652 225,80.448,2.0,600,1.2
1030.0,1440.0,300.0,513.542,284.147,1.13195e-07,-250.0,-87.9897,2.245897,164.2562,2.245897,plain air,ABS,ABS suburban,1530 1530 225,32.194,2.0,300,1.1
1030.0,1730.0,300.0,99890.7,685.8531,1.07812e-07,-250.0,-96.22878,68.82078,222.592,68.82078,plain air,Satellite,Satellite,xxx,40.233,2.5,400,20.0
1040.0,50.0,300.0,682.792,236.9571,1.8322e-08,-250.0,-87.9897,1.049293,163.0596,1.049293,sea sky,ABS,ABS dense urban1,486 442 225,64.358,2.0,500,1.0
1040.0,360.0,300.0,660.357,299.593,5.12857e-08,-250.0,-87.9897,2.611297,164.6216,2.611297,sea sky,BS,BS urban1,1434 816 30,168.014,10.0,1600,0.5
1040.0,680.0,300.0,517.777,267.2529,1.10154e-07,-250.0,-87.9897,1.832603,163.8429,1.832603,plain air,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1040.0,960.0,300.0,769.077,268.7923,8.41658e-09,-250.0,-87.9897,1.870902,163.8812,1.870902,plain air,BS,BS dense urban1,314 990 48,202.728,10.0,2000,0.5
1040.0,1130.0,300.0,1027.86,3.904201,1.94213e-07,-250.0,-87.9897,-18.65731,143.353,-18.65731,plain air,BS,BS urban high rise 1,314 1829 80,253.411,10.0,2400,0.7
1040.0,1310.0,300.0,546.053,0.6508551,2.03688e-07,-250.0,-87.9897,-26.4623,135.548,-26.4623,plain air,BS,BS suburban2,1488 1449 20,101.412,10.0,1200,0.6
1040.0,1540.0,300.0,306.258,547.4508,3.30487e-08,-250.0,-87.9897,7.534298,169.5446,7.534298,plain air,ABS,ABS urban high rise2,765 1652 225,72.403,2.0,600,1.2
1040.0,1860.0,150.0,595.504,308.8961,8.22121e-08,-250.0,-87.9897,2.826198,164.8365,2.826198,plain air,ABS,ABS suburban,1530 1530 225,32.194,2.0,300,1.1
1050.0,170.0,150.0,1080.02,119.9365,7.28513e-09,-250.0,-87.9897,-2.878701,159.1316,-2.878701,sea sky,ABS,ABS dense urban2,486 1088 225,57.922,2.0,500,1.0
1050.0,480.0,150.0,640.982,362.1642,9.70369e-09,-250.0,-87.9897,3.994001,166.0043,3.994001,plain air,BS,BS urban2,1678 537 35,151.213,10.0,1600,0.5
1050.0,790.0,150.0,515.842,329.7529,4.0917e-08,-250.0,-87.9897,3.295301,165.3056,3.295301,plain air,ABS,ABS urban,1550 700 225,48.004,2.0,400,1.0
1050.0,1030.0,150.0,744.11,318.5937,5.27464e-08,-250.0,-87.9897,3.046402,165.0567,3.046402,plain air,BS,BS dense urban1,314 990 48,202.728,10.0,2000,0.5
1050.0,1200.0,150.0,958.589,149.1285,9.46508e-08,-250.0,-87.9897,-1.695906,160.3144,-1.695906,plain air,ABS,ABS urban high rise1,208 1652 225,80.448,2.0,600,1.2
1050.0,1390.0,150.0,505.594,336.9069,1.42157e-08,-250.0,-87.9897,3.452495,165.4628,3.452495,plain air,ABS,ABS suburban,1530 1530 225,32.194,2.0,300,1.1
1050.0,1660.0,300.0,544.416,167.893,3.59156e-08,-250.0,-87.9897,-1.027104,160.9832,-1.027104,plain air,BS,BS suburban1,1478 1472 20,112.681,10.0,1200,0.6
1050.0,1980.0,300.0,662.212,237.7842,1.21326e-07,-250.0,-87.9897,1.071495,163.0818,1.071495,plain air,ABS,ABS suburban,1530 1530 225,32.194,2.0,300,1.1
1060.0,290.0,300.0,985.852,137.5758,5.37824e-09,-250.0,-87.9897,-2.140204,159.8701,-2.140204,sea sky,ABS,ABS dense urban2,486 1088 225,57.922,2.0,500,1.0
1060.0,600.0,300.0,675.365,167.521,3.29811e-08,-250.0,-87.9897,-1.039807,160.9705,-1.039807,plain air,BS,BS urban2,1678 537 35,151.213,10.0,1600,0.5
